id,ivr_test_index,annotator,word_index,word,start_s,end_s
ivr-hi-0000,0,ann1,0,क्योंकि,0.03,0.43
ivr-hi-0000,0,ann1,1,मेरे,0.427,0.747
ivr-hi-0000,0,ann1,2,घर,0.743,0.973
ivr-hi-0000,0,ann1,3,में,0.968,1.218
ivr-hi-0000,0,ann1,4,कुछ,1.213,1.393
ivr-hi-0000,0,ann1,5,लोग,1.391,1.651
ivr-hi-0000,0,ann1,6,को,1.646,1.786
ivr-hi-0000,0,ann1,7,चाय,1.784,2.074
ivr-hi-0000,0,ann1,8,पसंद,2.074,2.464
ivr-hi-0000,0,ann1,9,है,2.462,2.662
ivr-hi-0000,0,ann1,10,और,3.012,3.142
ivr-hi-0000,0,ann1,11,कुछ,3.135,3.345
ivr-hi-0000,0,ann1,12,लोग,3.339,3.599
ivr-hi-0000,0,ann1,13,को,3.594,3.874
ivr-hi-0000,0,ann1,14,कॉफी,3.874,4.294
ivr-hi-0000,0,ann1,15,पीना,4.287,4.587
ivr-hi-0000,0,ann1,16,पसंद,4.588,4.978
ivr-hi-0000,0,ann1,17,है,4.981,5.152
ivr-hi-0000,0,ann2,0,क्योंकि,0.03,0.43
ivr-hi-0000,0,ann2,1,मेरे,0.437,0.737
ivr-hi-0000,0,ann2,2,घर,0.738,0.928
ivr-hi-0000,0,ann2,3,में,0.927,1.197
ivr-hi-0000,0,ann2,4,कुछ,1.202,1.392
ivr-hi-0000,0,ann2,5,लोग,1.386,1.656
ivr-hi-0000,0,ann2,6,को,1.656,1.786
ivr-hi-0000,0,ann2,7,चाय,1.784,2.064
ivr-hi-0000,0,ann2,8,पसंद,2.064,2.464
ivr-hi-0000,0,ann2,9,है,2.467,2.657
ivr-hi-0000,0,ann2,10,और,3.001,3.171
ivr-hi-0000,0,ann2,11,कुछ,3.181,3.371
ivr-hi-0000,0,ann2,12,लोग,3.375,3.595
ivr-hi-0000,0,ann2,13,को,3.594,3.844
ivr-hi-0000,0,ann2,14,कॉफी,3.986,4.276
ivr-hi-0000,0,ann2,15,पीना,4.277,4.587
ivr-hi-0000,0,ann2,16,पसंद,4.583,4.973
ivr-hi-0000,0,ann2,17,है,4.976,5.152
ivr-hi-0001,1,ann1,0,क्योंकि,0.0,0.48
ivr-hi-0001,1,ann1,1,वह,0.724,0.984
ivr-hi-0001,1,ann1,2,ऐसा,0.986,1.386
ivr-hi-0001,1,ann1,3,बात,1.381,1.651
ivr-hi-0001,1,ann1,4,बोलते,1.649,2.149
ivr-hi-0001,1,ann1,5,हैं,2.145,2.395
ivr-hi-0001,1,ann1,6,जो,2.677,3.087
ivr-hi-0001,1,ann1,7,हम,3.242,3.602
ivr-hi-0001,1,ann1,8,नॉर्मल,3.6,4.05
ivr-hi-0001,1,ann1,9,लोग,4.046,4.296
ivr-hi-0001,1,ann1,10,नहीं,4.355,4.655
ivr-hi-0001,1,ann1,11,समझ,4.653,4.983
